
Time:2025-5-6_17:22
VOA 1
Raw Data
step	att
Raw Data
step	att
0	0.00
20	0.00
40	0.00
60	0.00
80	0.00
100	0.00
120	-0.00
140	0.00
160	0.00
180	0.00
200	0.01
220	0.01
240	0.01
260	0.01
280	0.01
300	0.01
320	0.02
340	0.02
360	0.02
380	0.03
400	0.03
420	0.03
440	0.04
460	0.04
480	0.05
500	0.05
520	0.06
540	0.06
560	0.07
580	0.07
600	0.08
620	0.09
640	0.10
660	0.11
680	0.11
700	0.12
720	0.13
740	0.15
760	0.16
780	0.17
800	0.18
820	0.20
840	0.21
860	0.23
880	0.25
900	0.26
920	0.28
940	0.30
960	0.32
980	0.35
1000	0.35
1020	0.39
1040	0.42
1060	0.45
1080	0.48
1100	0.48
1120	0.52
1140	0.56
1160	0.59
1180	0.63
1200	0.64
1220	0.69
1240	0.74
1260	0.79
1280	0.80
1300	0.86
1320	0.92
1340	0.97
1360	1.03
1380	1.05
1400	1.12
1420	1.18
1440	1.25
1460	1.31
1480	1.38
1500	1.40
1520	1.49
1540	1.56
1560	1.66
1580	1.75
1600	1.76
1620	1.87
1640	1.97
1660	2.09
1680	2.18
1700	2.28
1720	2.30
1740	2.43
1760	2.55
1780	2.65
1800	2.79
1820	2.92
1840	3.05
1860	3.18
1880	3.22
1900	3.39
1920	3.54
1940	3.70
1960	3.86
1980	4.03
2000	4.08
2020	4.28
2040	4.46
2060	4.67
2080	4.71
2100	4.91
2120	5.10
2140	5.33
2160	5.54
2180	5.80
2200	6.00
2220	6.04
2240	6.31
2260	6.58
2280	6.82
2300	7.10
2320	7.17
2340	7.43
2360	7.74
2380	8.02
2400	8.34
2420	8.40
2440	8.70
2460	9.04
2480	9.16
2500	9.68
2520	9.97
2540	10.06
2560	10.43
2580	10.81
2600	11.20
2620	11.29
2640	11.64
2660	12.05
2680	12.48
2700	12.86
2720	12.94
2740	13.38
2760	13.78
2780	14.17
2800	14.59
2820	15.00
2840	15.45
2860	15.53
2880	16.03
2900	16.53
2920	17.05
2940	17.16
2960	17.69
2980	18.23
3000	18.71
3020	19.25
3040	19.39
3060	19.95
3080	20.55
3100	21.08
3120	21.62
3140	21.74
3160	22.28
3180	22.91
3200	23.48
3220	24.14
3240	24.27
3260	24.94
3280	25.53
3300	26.21
3320	26.82
3340	27.44
3360	27.58
3380	28.19
3400	28.81
3420	29.15
3440	30.04
3460	30.68
3480	31.33
3500	31.98
3520	32.62
3540	32.77
3560	33.52
3580	34.29
3600	34.96
3620	35.69
3640	35.90
3660	36.69
3680	37.48
3700	38.20
3720	38.89
3740	39.55
3760	39.80
3780	40.62
3800	41.48
3820	42.22
3840	42.94
3860	43.15
3880	43.93
3900	44.84
3920	45.66
3940	46.49
3960	47.35
3980	47.54
4000	48.19
4020	49.40
4040	50.45
4060	51.32
4080	52.15
Att Data
target	step	att
0	0	0.00
1	1360	1.03
2	1640	1.97
3	1840	3.05
4	1980	4.03
5	2100	4.91
6	2200	6.00
7	2300	7.10
8	2380	8.02
9	2460	9.04
10	2520	9.97
11	2580	10.81
12	2660	12.05
13	2720	12.94
14	2780	14.17
15	2820	15.00
16	2880	16.03
17	2920	17.05
18	2980	18.23
19	3020	19.25
20	3060	19.95
21	3100	21.08
22	3140	21.74
23	3180	22.91
24	3220	24.14
25	3260	24.94
26	3300	26.21
27	3320	26.82
28	3380	28.19
29	3420	29.15
30	3440	30.04
31	3460	30.68
32	3500	31.98
33	3540	32.77
34	3580	34.29
35	3600	34.96
36	3640	35.90
37	3660	36.69
38	3700	38.20
39	3720	38.89
40	3760	39.80

Time:2025-5-6_17:47
VOA 1
Raw Data
step	att
0	0.00
20	0.00
40	-0.00
60	0.00
80	0.00
100	0.00
120	0.00
140	0.00
160	0.00
180	0.00
200	0.01
220	0.01
240	0.01
260	0.01
280	0.01
300	0.02
320	0.02
340	0.02
360	0.02
380	0.03
400	0.03
420	0.03
440	0.03
460	0.04
480	0.04
500	0.05
520	0.06
540	0.06
560	0.07
580	0.07
600	0.08
620	0.09
640	0.10
660	0.10
680	0.11
700	0.12
720	0.14
740	0.15
760	0.16
780	0.17
800	0.18
820	0.20
840	0.21
860	0.23
880	0.25
900	0.27
920	0.29
940	0.29
960	0.31
980	0.33
1000	0.36
1020	0.39
1040	0.42
1060	0.45
1080	0.45
1100	0.49
1120	0.52
1140	0.55
1160	0.59
1180	0.62
1200	0.67
1220	0.71
1240	0.72
1260	0.78
1280	0.83
1300	0.88
1320	0.90
1340	0.95
1360	1.01
1380	1.08
1400	1.14
1420	1.15
1440	1.22
1460	1.29
1480	1.36
1500	1.43
1520	1.52
1540	1.54
1560	1.63
1580	1.71
1600	1.80
1620	1.89
1640	2.00
1660	2.09
1680	2.11
1700	2.21
1720	2.32
1740	2.43
1760	2.56
1780	2.70
1800	2.73
1820	2.88
1840	3.01
1860	3.14
1880	3.31
1900	3.34
1920	3.51
1940	3.68
1960	3.86
1980	3.90
2000	4.09
2020	4.26
2040	4.44
2060	4.62
2080	4.81
2100	5.02
2120	5.08
2140	5.28
2160	5.52
2180	5.74
2200	5.96
2220	6.20
2240	6.24
2260	6.51
2280	6.75
2300	7.00
2320	7.26
2340	7.52
2360	7.81
2380	7.90
2400	8.18
2420	8.46
2440	8.79
2460	9.09
2480	9.13
2500	9.48
2520	9.78
2540	10.15
2560	10.53
2580	10.61
2600	10.94
2620	11.29
2640	11.64
2660	12.05
2680	12.43
2700	12.80
2720	13.17
2740	13.52
2760	13.60
2780	14.06
2800	14.53
2820	15.00
2840	15.40
2860	15.47
2880	15.90
2900	16.41
2920	16.92
2940	17.44
2960	17.56
2980	18.03
3000	18.51
3020	19.00
3040	19.49
3060	20.00
3080	20.59
3100	21.07
3120	21.23
3140	21.77
3160	22.40
3180	22.95
3200	23.52
3220	24.09
3240	24.22
3260	24.88
3280	25.46
3300	26.06
3320	26.74
3340	26.88
3360	27.57
3380	28.18
3400	28.88
3420	29.03
3440	30.12
3460	30.24
3480	30.87
3500	31.51
3520	32.15
3540	32.90
3560	33.65
3580	34.26
3600	34.48
3620	35.15
3640	35.93
3660	36.62
3680	37.40
3700	37.59
3720	38.39
3740	39.12
3760	39.84
3780	40.70
3800	40.86
3820	41.70
3840	42.58
3860	43.36
3880	44.17
3900	44.30
3920	45.07
3940	45.94
3960	46.72
3980	47.59
4000	47.77
4020	48.57
4040	49.29
4060	50.06
4080	50.68
Att Data
target	step	att
0	0	0.00
1	1360	1.01
2	1640	2.00
3	1840	3.01
4	2000	4.09
5	2100	5.02
6	2200	5.96
7	2300	7.00
8	2380	7.90
9	2460	9.09
10	2540	10.15
11	2600	10.94
12	2660	12.05
13	2720	13.17
14	2780	14.06
15	2820	15.00
16	2880	15.90
17	2920	16.92
18	2980	18.03
19	3020	19.00
20	3060	20.00
21	3100	21.07
22	3140	21.77
23	3180	22.95
24	3220	24.09
25	3260	24.88
26	3300	26.06
27	3340	26.88
28	3380	28.18
29	3420	29.03
30	3440	30.12
31	3480	30.87
32	3520	32.15
33	3540	32.90
34	3580	34.26
35	3620	35.15
36	3640	35.93
37	3660	36.62
38	3720	38.39
39	3740	39.12
40	3760	39.84

Time:2025-5-6_23:22
VOA 1
Raw Data
step	att
0	0.00
20	0.00
40	0.00
60	-0.00
80	-0.00
100	-0.00
120	-0.00
140	0.00
160	0.00
180	0.00
200	0.00
220	0.01
240	0.01
260	0.01
280	0.01
300	0.01
320	0.02
340	0.02
360	0.02
380	0.02
400	0.03
420	0.03
440	0.04
460	0.04
480	0.05
500	0.05
520	0.06
540	0.06
560	0.07
580	0.08
600	0.08
620	0.09
640	0.10
660	0.11
680	0.12
700	0.13
720	0.14
740	0.14
760	0.16
780	0.17
800	0.18
820	0.20
840	0.22
860	0.22
880	0.24
900	0.26
920	0.28
940	0.30
960	0.33
980	0.33
1000	0.36
1020	0.38
1040	0.41
1060	0.44
1080	0.47
1100	0.48
1120	0.51
1140	0.55
1160	0.59
1180	0.63
1200	0.65
1220	0.69
1240	0.73
1260	0.78
1280	0.83
1300	0.85
1320	0.91
1340	0.96
1360	1.01
1380	1.07
1400	1.13
1420	1.15
1440	1.23
1460	1.29
1480	1.37
1500	1.44
1520	1.51
1540	1.53
1560	1.62
1580	1.70
1600	1.80
1620	1.90
1640	1.92
1660	2.03
1680	2.14
1700	2.25
1720	2.36
1740	2.47
1760	2.51
1780	2.63
1800	2.75
1820	2.90
1840	3.04
1860	3.08
1880	3.22
1900	3.38
1920	3.55
1940	3.59
1960	3.75
1980	3.93
2000	4.10
2020	4.29
2040	4.47
2060	4.51
2080	4.69
2100	4.88
2120	5.11
2140	5.31
2160	5.55
2180	5.74
2200	5.79
2220	6.04
2240	6.27
2260	6.54
2280	6.81
2300	6.88
2320	7.18
2340	7.48
2360	7.77
2380	7.81
2400	8.09
2420	8.41
2440	8.75
2460	9.05
2480	9.09
2500	9.61
2520	9.65
2540	9.97
2560	10.35
2580	10.73
2600	11.13
2620	11.45
2640	11.77
2660	11.86
2680	12.23
2700	12.60
2720	12.99
2740	13.44
2760	13.87
2780	13.98
2800	14.45
2820	14.93
2840	15.09
2860	15.58
2880	16.02
2900	16.53
2920	17.01
2940	17.43
2960	17.55
2980	18.02
3000	18.49
3020	18.97
3040	19.46
3060	19.96
3080	20.55
3100	20.66
3120	21.25
3140	21.77
3160	22.31
3180	22.86
3200	23.47
3220	23.62
3240	24.26
3260	24.92
3280	25.57
3300	25.73
3320	26.33
3340	27.03
3360	27.65
3380	28.27
3400	28.96
3420	29.06
3440	29.67
3460	30.32
3480	30.99
3500	31.64
3520	32.39
3540	33.12
3560	33.31
3580	34.06
3600	34.82
3620	35.48
3640	36.15
3660	36.30
3680	36.94
3700	37.72
3720	38.40
3740	39.10
3760	39.82
3780	40.56
3800	40.83
3820	41.60
3840	42.55
3860	43.42
3880	44.40
3900	44.54
3920	45.51
3940	46.53
3960	47.72
3980	48.11
4000	49.87
4020	50.07
4040	50.98
4060	51.53
4080	51.84
Att Data
target	step	att
0	0	0.00
1	1360	1.01
2	1660	2.03
3	1840	3.04
4	1980	3.93
5	2120	5.11
6	2220	6.04
7	2300	6.88
8	2400	8.09
9	2460	9.05
10	2540	9.97
11	2600	11.13
12	2660	11.86
13	2720	12.99
14	2780	13.98
15	2820	14.93
16	2880	16.02
17	2920	17.01
18	2980	18.02
19	3020	18.97
20	3060	19.96
21	3120	21.25
22	3140	21.77
23	3180	22.86
24	3240	24.26
25	3260	24.92
26	3300	25.73
27	3340	27.03
28	3380	28.27
29	3400	28.96
30	3460	30.32
31	3480	30.99
32	3500	31.64
33	3540	33.12
34	3580	34.06
35	3600	34.82
36	3640	36.15
37	3680	36.94
38	3700	37.72
39	3740	39.10
40	3760	39.82

Time:2025-5-9_2:32
VOA 1
Raw Data
step	att
0	0.00
20	-0.00
40	-0.00
60	-0.00
80	0.00
100	0.00
120	0.00
140	0.00
160	0.00
180	0.00
200	0.01
220	0.01
240	0.01
260	0.01
280	0.01
300	0.02
320	0.02
340	0.02
360	0.03
380	0.03
400	0.03
420	0.04
440	0.04
460	0.04
480	0.05
500	0.05
520	0.06
540	0.07
560	0.07
580	0.08
600	0.08
620	0.09
640	0.10
660	0.11
680	0.12
700	0.13
720	0.14
740	0.15
760	0.17
780	0.17
800	0.19
820	0.21
840	0.22
860	0.24
880	0.26
900	0.27
920	0.29
940	0.31
960	0.33
980	0.36
1000	0.37
1020	0.40
1040	0.43
1060	0.46
1080	0.47
1100	0.50
1120	0.53
1140	0.57
1160	0.61
1180	0.65
1200	0.69
1220	0.70
1240	0.74
1260	0.79
1280	0.84
1300	0.90
1320	0.92
1340	0.98
1360	1.04
1380	1.10
1400	1.12
1420	1.19
1440	1.25
1460	1.32
1480	1.40
1500	1.47
1520	1.49
1540	1.57
1560	1.67
1580	1.75
1600	1.86
1620	1.87
1640	1.98
1660	2.09
1680	2.21
1700	2.23
1720	2.34
1740	2.45
1760	2.57
1780	2.72
1800	2.75
1820	2.88
1840	3.03
1860	3.19
1880	3.35
1900	3.38
1920	3.53
1940	3.71
1960	3.89
1980	4.05
2000	4.09
2020	4.29
2040	4.49
2060	4.70
2080	4.74
2100	4.97
2120	5.19
2140	5.40
2160	5.63
2180	5.69
2200	5.94
2220	6.17
2240	6.44
2260	6.68
2280	6.77
2300	7.02
2320	7.28
2340	7.59
2360	7.87
2380	7.92
2400	8.20
2420	8.53
2440	8.87
2460	9.17
2480	9.20
2500	9.73
2520	9.78
2540	10.15
2560	10.53
2580	10.92
2600	11.25
2620	11.34
2640	11.70
2660	12.06
2680	12.48
2700	12.86
2720	13.29
2740	13.65
2760	13.80
2780	14.20
2800	14.61
2820	15.10
2840	15.55
2860	15.75
2880	16.26
2900	16.70
2920	17.16
2940	17.61
2960	18.04
2980	18.14
3000	18.61
3020	19.17
3040	19.73
3060	20.27
3080	20.42
3100	20.94
3120	21.54
3140	22.15
3160	22.68
3180	22.82
3200	23.45
3220	24.18
3240	24.31
3260	24.98
3280	25.65
3300	26.35
3320	26.48
3340	27.09
3360	27.81
3380	28.54
3400	29.25
3420	29.41
3440	30.13
3460	30.88
3480	31.61
3500	31.79
3520	32.55
3540	33.30
3560	33.96
3580	34.64
3600	34.79
3620	35.46
3640	36.21
3660	36.98
3680	37.69
3700	37.80
3720	38.48
3740	39.28
3760	40.09
3780	40.82
3800	41.57
3820	41.74
3840	42.63
3860	43.56
3880	44.42
3900	45.36
3920	45.50
3940	46.54
3960	47.47
3980	47.91
4000	49.49
4020	49.66
4040	50.46
4060	51.04
4080	51.31
Att Data
target	step	att
0	0	0.00
1	1340	0.98
2	1640	1.98
3	1840	3.03
4	1980	4.05
5	2100	4.97
6	2200	5.94
7	2300	7.02
8	2380	7.92
9	2440	8.87
10	2540	10.15
11	2580	10.92
12	2660	12.06
13	2700	12.86
14	2780	14.20
15	2820	15.10
16	2860	15.75
17	2920	17.16
18	2960	18.04
19	3020	19.17
20	3040	19.73
21	3100	20.94
22	3140	22.15
23	3180	22.82
24	3220	24.18
25	3260	24.98
26	3300	26.35
27	3340	27.09
28	3360	27.81
29	3400	29.25
30	3440	30.13
31	3460	30.88
32	3500	31.79
33	3540	33.30
34	3560	33.96
35	3600	34.79
36	3640	36.21
37	3660	36.98
38	3700	37.80
39	3740	39.28
40	3760	40.09

Time:2025-5-9_2:32
PD_1
Sample	Power	Att
486	-47.20	400
593	-45.28	380
699	-43.44	360
799	-41.00	340
896	-39.18	320
978	-37.37	300
1089	-35.02	280
1169	-33.34	260
1271	-31.18	240
1370	-29.14	220
1482	-26.77	200
1567	-25.00	180
1667	-22.91	160
1742	-21.35	140
1845	-19.20	120
1935	-17.28	100
2041	-15.05	80
2140	-13.00	60
2235	-11.02	40
2333	-8.99	20
2429	-6.96	0

Time:2025-5-10_1:06
VOA 1
Raw Data
step	att
0	0.00
20	0.00
40	0.00
60	0.00
80	0.00
100	0.00
120	0.00
140	0.00
160	0.00
180	0.00
200	0.01
220	0.01
240	0.01
260	0.01
280	0.01
300	0.02
320	0.02
340	0.02
360	0.02
380	0.03
400	0.03
420	0.03
440	0.04
460	0.04
480	0.05
500	0.05
520	0.06
540	0.06
560	0.07
580	0.08
600	0.08
620	0.09
640	0.10
660	0.11
680	0.12
700	0.13
720	0.14
740	0.14
760	0.16
780	0.17
800	0.19
820	0.21
840	0.21
860	0.23
880	0.24
900	0.26
920	0.29
940	0.31
960	0.33
980	0.33
1000	0.36
1020	0.39
1040	0.42
1060	0.44
1080	0.48
1100	0.48
1120	0.52
1140	0.55
1160	0.59
1180	0.63
1200	0.67
1220	0.68
1240	0.73
1260	0.77
1280	0.83
1300	0.88
1320	0.90
1340	0.95
1360	1.01
1380	1.07
1400	1.13
1420	1.19
1440	1.26
1460	1.27
1480	1.34
1500	1.42
1520	1.51
1540	1.60
1560	1.62
1580	1.70
1600	1.79
1620	1.89
1640	2.00
1660	2.09
1680	2.11
1700	2.23
1720	2.37
1740	2.48
1760	2.50
1780	2.64
1800	2.78
1820	2.91
1840	3.04
1860	3.18
1880	3.21
1900	3.37
1920	3.54
1940	3.70
1960	3.87
1980	3.91
2000	4.10
2020	4.30
2040	4.49
2060	4.55
2080	4.76
2100	4.98
2120	5.17
2140	5.38
2160	5.46
2180	5.70
2200	5.95
2220	6.00
2240	6.26
2260	6.53
2280	6.81
2300	6.87
2320	7.12
2340	7.42
2360	7.72
2380	8.03
2400	8.10
2420	8.42
2440	8.76
2460	9.06
2480	9.38
2500	9.38
2520	9.80
2540	10.17
2560	10.50
2580	10.82
2600	10.91
2620	11.26
2640	11.66
2660	12.07
2680	12.16
2700	12.52
2720	12.96
2740	13.40
2760	13.85
2780	13.95
2800	14.35
2820	14.77
2840	15.31
2860	15.76
2880	15.84
2900	16.35
2920	16.79
2940	17.25
2960	17.72
2980	18.26
3000	18.37
3020	18.92
3040	19.48
3060	20.06
3080	20.17
3100	20.76
3120	21.35
3140	21.96
3160	22.45
3180	22.54
3200	23.09
3220	23.73
3240	24.37
3260	25.00
3280	25.53
3300	25.73
3320	26.41
3340	27.00
3360	27.61
3380	28.26
3400	28.44
3420	29.14
3440	29.38
3460	30.49
3480	30.69
3500	31.40
3520	32.23
3540	32.38
3560	33.02
3580	33.76
3600	34.52
3620	35.22
3640	35.43
3660	36.11
3680	36.90
3700	37.70
3720	37.96
3740	38.80
3760	39.66
3780	40.42
3800	41.18
3820	41.91
3840	42.19
3860	43.05
3880	44.04
3900	44.91
3920	45.87
3940	46.13
3960	47.15
3980	48.15
4000	48.28
4020	49.61
4040	49.76
4060	50.32
4080	50.79
Att Data
target	step	att
0	0	0.00
1	1360	1.01
2	1640	2.00
3	1840	3.04
4	1980	3.91
5	2100	4.98
6	2220	6.00
7	2320	7.12
8	2380	8.03
9	2460	9.06
10	2540	10.17
11	2600	10.91
12	2660	12.07
13	2720	12.96
14	2780	13.95
15	2820	14.77
16	2880	15.84
17	2920	16.79
18	2980	18.26
19	3020	18.92
20	3060	20.06
21	3100	20.76
22	3140	21.96
23	3200	23.09
24	3220	23.73
25	3260	25.00
26	3300	25.73
27	3340	27.00
28	3380	28.26
29	3420	29.14
30	3460	30.49
31	3480	30.69
32	3520	32.23
33	3560	33.02
34	3580	33.76
35	3620	35.22
36	3660	36.11
37	3680	36.90
38	3720	37.96
39	3740	38.80
40	3760	39.66
